engine_size,horsepower,weight,cylinders,model_year,mpg
1.74,132.0,1709.0,8,2020,44.69
4.88,287.0,3443.0,6,2004,22.5
4.1,252.0,2896.0,4,2004,26.86
4.76,360.0,2561.0,8,2018,26.6
4.58,273.0,3766.0,4,2013,26.35
3.39,187.0,1778.0,3,2003,31.82
4.69,313.0,2732.0,4,2012,25.85
1.35,105.0,1528.0,4,2009,43.67
1.78,126.0,2672.0,6,2017,42.79
1.18,79.0,1641.0,8,2007,44.16
2.3,122.0,1797.0,6,2007,38.66
2.55,175.0,1794.0,6,2006,36.31
2.09,167.0,3123.0,6,2007,37.28
4.31,234.0,3365.0,6,2013,28.62
2.43,159.0,2958.0,6,2018,39.54
2.12,162.0,3905.0,4,2005,35.87
3.17,229.0,2437.0,6,2000,30.3
1.56,111.0,2214.0,6,2022,45.93
4.21,299.0,3671.0,8,2014,27.71
1.3,79.0,2059.0,3,2000,41.16
4.95,291.0,3908.0,4,2016,25.27
4.09,304.0,1530.0,4,2000,26.03
1.79,133.0,3925.0,4,2014,40.46
1.02,78.0,1608.0,6,2022,49.35
4.26,330.0,3728.0,6,2001,22.93
3.83,250.0,2819.0,6,2013,30.76
3.92,255.0,3982.0,8,2020,31.24
4.09,302.0,1684.0,3,2007,28.02
1.3,90.0,2885.0,6,2007,42.22
2.43,173.0,3923.0,3,2018,38.3
1.46,108.0,2808.0,8,2006,40.99
4.45,341.0,3073.0,4,2018,27.71
3.49,210.0,3239.0,6,2005,30.1
2.32,142.0,2636.0,3,2005,36.74
1.25,66.0,3069.0,3,2002,41.21
2.24,151.0,2961.0,6,2006,36.86
2.3,117.0,3753.0,4,2018,40.11
3.92,251.0,1614.0,4,2007,29.79
3.55,235.0,2202.0,4,2009,31.6
4.55,267.0,3876.0,8,2019,28.28
2.89,196.0,3726.0,3,2014,34.99
1.48,75.0,2639.0,3,2014,44.14
3.85,197.0,3050.0,3,2000,27.61
4.04,302.0,2193.0,8,2019,31.31
3.25,198.0,1970.0,3,2006,32.87
4.08,220.0,2659.0,8,2003,27.52
2.98,196.0,2383.0,4,2005,33.28
3.09,226.0,2959.0,6,2000,30.16
2.71,153.0,1694.0,3,2004,35.61
1.1,76.0,3936.0,3,2022,46.74
1.43,75.0,3966.0,4,2000,38.81
1.13,58.0,3245.0,6,2003,41.98
3.55,234.0,2840.0,8,2021,34.58
2.26,150.0,2274.0,6,2001,35.99
3.03,209.0,3534.0,4,2009,32.87
4.63,332.0,3212.0,4,2004,22.83
2.0,159.0,1907.0,6,2009,39.61
2.64,173.0,3777.0,8,2000,32.2
4.02,240.0,3556.0,8,2021,31.86
1.92,142.0,3874.0,3,2005,37.11
1.31,76.0,3314.0,8,2012,43.53
2.16,136.0,3034.0,6,2014,39.81
1.64,86.0,2546.0,4,2003,40.07
4.72,240.0,3832.0,3,2012,26.09
4.23,334.0,3665.0,3,2023,29.64
3.53,265.0,1613.0,4,2019,34.67
4.49,318.0,1566.0,8,2023,31.01
4.21,262.0,2441.0,4,2014,29.68
1.75,97.0,3526.0,8,2007,39.63
4.57,250.0,3968.0,4,2004,23.95
3.16,182.0,1876.0,6,2014,36.04
4.23,281.0,2985.0,8,2003,25.37
4.58,327.0,2452.0,6,2011,25.99
2.27,158.0,3925.0,3,2012,37.44
1.44,84.0,3605.0,4,2001,39.26
1.91,150.0,3596.0,3,2018,41.16
2.71,195.0,2672.0,3,2018,37.99
4.27,285.0,2537.0,3,2003,25.58
4.44,303.0,2184.0,3,2003,24.9
1.03,64.0,1641.0,4,2010,45.96
3.04,175.0,3662.0,3,2004,31.88
2.67,162.0,3532.0,4,2019,38.25
1.89,137.0,3999.0,4,2010,38.7
1.48,75.0,3992.0,6,2009,41.29
2.35,126.0,2889.0,8,2007,37.29
4.77,245.0,3422.0,8,2005,24.1
2.29,117.0,3862.0,4,2005,36.14
3.08,233.0,3624.0,6,2007,31.5
3.81,271.0,2118.0,4,2022,33.82
2.45,157.0,2626.0,4,2014,38.63
4.89,259.0,1823.0,4,2013,27.34
4.85,314.0,3885.0,6,2010,23.44
2.01,129.0,3015.0,8,2011,39.66
2.99,165.0,2072.0,6,2012,36.27
2.2,139.0,3179.0,3,2007,37.34
2.14,133.0,3045.0,6,2017,40.84
1.15,79.0,2395.0,6,2000,41.42
3.44,238.0,1784.0,6,2014,33.9
3.01,155.0,3179.0,6,2007,33.78
1.21,74.0,2801.0,8,2010,43.88
2.11,145.0,3431.0,3,2011,38.53
4.63,301.0,2800.0,8,2011,25.96
1.96,148.0,3630.0,8,2003,36.47
1.58,110.0,2880.0,6,2015,43.1
2.96,162.0,2902.0,4,2003,32.92
4.94,257.0,3692.0,4,2004,22.61
1.97,136.0,2509.0,8,2023,43.79
3.69,187.0,1835.0,8,2004,30.86
4.05,274.0,1572.0,6,2007,28.85
1.95,153.0,3388.0,8,2009,38.45
3.91,263.0,3051.0,6,2016,30.85
2.47,152.0,3260.0,4,2008,36.22
3.53,245.0,2032.0,4,2021,35.25
3.53,225.0,1841.0,3,2018,34.94
3.14,208.0,1536.0,4,2013,35.64
1.36,106.0,2376.0,8,2007,42.16
4.34,267.0,2975.0,4,2008,26.72
2.28,180.0,2481.0,6,2021,41.1
1.75,135.0,2594.0,4,2010,40.71
1.16,65.0,3760.0,3,2022,46.9
3.36,175.0,2371.0,4,2000,30.69
3.71,197.0,2785.0,6,2013,32.33
1.07,54.0,3459.0,6,2004,42.38
3.05,161.0,2491.0,8,2020,38.09
1.91,135.0,3055.0,4,2013,40.5
3.58,187.0,3656.0,6,2003,29.18
1.7,101.0,3874.0,3,2021,43.61
3.76,283.0,1868.0,8,2022,34.03
2.55,129.0,3816.0,3,2000,33.4
4.75,354.0,2730.0,4,2021,27.49
1.55,91.0,2146.0,4,2022,46.43
2.36,126.0,2648.0,4,2018,40.79
1.45,103.0,3950.0,8,2007,40.29
4.7,324.0,2732.0,6,2014,26.19
4.51,344.0,2322.0,8,2020,28.76
2.03,146.0,3084.0,3,2014,40.08
3.64,270.0,2100.0,8,2008,30.34
4.27,250.0,1690.0,3,2020,32.23
3.22,178.0,1822.0,8,2008,34.14
3.12,226.0,1820.0,6,2009,33.88
1.97,146.0,1880.0,3,2019,43.02
1.37,109.0,1847.0,4,2020,46.49
4.59,286.0,3102.0,4,2008,25.22
4.6,281.0,1955.0,8,2002,24.62
3.53,259.0,2364.0,4,2019,34.04
2.36,142.0,3742.0,3,2010,36.98
2.4,187.0,2685.0,4,2005,35.47
3.9,295.0,3169.0,6,2001,25.63
4.59,289.0,1931.0,6,2006,25.73
4.55,330.0,1981.0,8,2017,28.32
4.12,299.0,1602.0,3,2001,26.24
