Order ID,Customer ID,Product Category,Sales Amount,Quantity,Discount,Profit,Order Date,Region
84,1034,Furniture,1138.23,6,0.33,12.76,2021-03-25,South
85,1205,Clothing,1209.33,2,0.05,257.21,2021-03-26,Central
86,1080,Home Decor,1246.44,3,0.34,456.81,2021-03-27,Central
87,1931,Electronics,320.29,1,0.37,409.84,2021-03-28,South
88,1561,Home Decor,391.75,9,0.19,336.25,2021-03-29,East
89,1871,Grocery,968.95,8,0.24,351.91,2021-03-30,West
90,1387,Home Decor,1366.41,2,0.31,265.49,2021-03-31,East
91,1001,Electronics,508.49,8,0.07,-17.8,2021-04-01,East
92,1389,Grocery,903.04,9,0.2,435.04,2021-04-02,West
93,1565,Home Decor,1040.32,1,0.16,269.51,2021-04-03,South
94,1105,Grocery,705.33,5,0.06,192.31,2021-04-04,Central
95,1771,Furniture,1084.98,8,0.15,-122.31,2021-04-05,South
96,1821,Furniture,1354.52,2,0.03,112.94,2021-04-06,South
97,1476,Home Decor,954.95,4,0.01,122.25,2021-04-07,East
98,1702,Grocery,832.68,7,0.05,405.19,2021-04-08,Central
99,1401,Electronics,686.18,3,0.39,182.65,2021-04-09,Central
100,1729,Home Decor,887.36,5,0.22,66.28,2021-04-10,South
101,1555,Furniture,565.28,8,0.39,483.76,2021-04-11,West
102,1161,Furniture,617.65,3,0.17,-122.5,2021-04-12,South
103,1201,Home Decor,821.19,4,0.12,95.78,2021-04-13,West
104,1957,Grocery,146.6,9,0.2,-170.58,2021-04-14,Central
105,1995,Furniture,382.09,7,0.18,317.93,2021-04-15,South
106,1269,Grocery,837.13,1,0.04,442.65,2021-04-16,East
107,1862,Furniture,675.72,4,0.26,-3.97,2021-04-17,South
108,1815,Furniture,532.58,4,0.09,400.84,2021-04-18,Central
109,1270,Clothing,1109.3,9,0.25,4.55,2021-04-19,East
110,1455,Furniture,1055.89,6,0.26,437.54,2021-04-20,East
111,1461,Electronics,291.76,9,0.06,327.77,2021-04-21,West
112,1726,Home Decor,1324.01,6,0.02,363.43,2021-04-22,East
113,1251,Home Decor,768.36,6,0.31,-187.4,2021-04-23,East
114,1701,Grocery,1125.12,5,0.18,473.97,2021-04-24,South
115,1295,Furniture,881.07,5,0.02,308.67,2021-04-25,Central
116,1724,Electronics,1496.65,2,0.4,13.33,2021-04-26,West
117,1719,Grocery,1140.98,8,0.02,380.58,2021-04-27,South
118,1748,Clothing,1075.12,8,0.28,-2.94,2021-04-28,East
119,1337,Grocery,1178.93,1,0.39,410.93,2021-04-29,East
120,1878,Grocery,257.54,8,0.1,-121.19,2021-04-30,West
121,1052,Furniture,346.59,5,0.06,292.58,2021-05-01,Central
122,1791,Clothing,1085.39,2,0.05,178.49,2021-05-02,West
123,1921,Grocery,766.27,2,0.12,-132.43,2021-05-03,South
124,1216,Electronics,1144.22,6,0.04,-30.67,2021-05-04,West
125,1763,Electronics,199.23,9,0.28,-191.32,2021-05-05,East
126,1187,Home Decor,827.9,1,0.02,128.14,2021-05-06,South
127,1379,Clothing,599.29,6,0.2,10.89,2021-05-07,East
128,1492,Clothing,712.65,9,0.4,218.85,2021-05-08,Central
129,1040,Home Decor,925.74,8,0.33,8.07,2021-05-09,East
130,1156,Grocery,778.32,6,0.25,9.94,2021-05-10,East
131,1014,Clothing,832.8,3,0.12,320.24,2021-05-11,West
132,1812,Electronics,755.22,8,0.25,-166.3,2021-05-12,East
133,1064,Electronics,642.99,9,0.21,432.03,2021-05-13,South
134,1856,Furniture,1169.23,1,0.17,396.58,2021-05-14,South
135,1838,Clothing,67.69,9,0.05,267.46,2021-05-15,Central
136,1520,Grocery,917.74,6,0.35,215.26,2021-05-16,South
137,1343,Home Decor,869.99,6,0.18,424.61,2021-05-17,West
138,1128,Home Decor,1088.46,4,0.08,-70.27,2021-05-18,Central
139,1647,Grocery,918.59,1,0.15,-144.72,2021-05-19,South
140,1471,Furniture,1248.86,8,0.17,-32.34,2021-05-20,West
141,1062,Home Decor,1440.66,2,0.33,356.2,2021-05-21,South
142,1138,Clothing,546.66,1,0.29,-175.73,2021-05-22,South
143,1498,Furniture,379.66,2,0.31,207.96,2021-05-23,East
144,1592,Clothing,664.22,1,0.0,496.81,2021-05-24,South
145,1391,Electronics,467.5,1,0.17,398.99,2021-05-25,South
146,1674,Furniture,941.68,9,0.19,165.01,2021-05-26,West
147,1418,Home Decor,1372.19,1,0.01,-155.45,2021-05-27,West
148,1288,Furniture,251.72,4,0.1,381.96,2021-05-28,East
149,1378,Furniture,196.15,6,0.3,219.28,2021-05-29,South
150,1772,Furniture,421.22,7,0.05,-119.55,2021-05-30,East
151,1489,Furniture,1102.84,2,0.21,-134.3,2021-05-31,South
152,1230,Clothing,909.8,6,0.09,436.74,2021-06-01,Central
153,1040,Electronics,198.21,7,0.0,268.44,2021-06-02,Central
154,1027,Grocery,1382.19,2,0.1,380.5,2021-06-03,East
155,1134,Furniture,1195.62,2,0.39,415.29,2021-06-04,East
156,1200,Home Decor,83.38,7,0.32,200.24,2021-06-05,East
157,1839,Furniture,994.48,1,0.38,162.21,2021-06-06,West
158,1779,Home Decor,1168.31,8,0.2,101.3,2021-06-07,West
159,1929,Clothing,592.93,3,0.04,21.86,2021-06-08,West
160,1032,Home Decor,149.94,6,0.22,104.22,2021-06-09,East
161,1047,Grocery,162.12,9,0.18,341.72,2021-06-10,South
162,1502,Electronics,201.16,6,0.34,221.35,2021-06-11,Central
163,1406,Home Decor,1268.64,9,0.04,424.77,2021-06-12,East
164,1573,Home Decor,1370.49,7,0.2,110.37,2021-06-13,West
165,1727,Electronics,228.08,9,0.06,224.96,2021-06-14,West
166,1804,Grocery,392.06,2,0.13,241.92,2021-06-15,East
167,1098,Furniture,290.0,8,0.29,214.19,2021-06-16,East
168,1683,Home Decor,320.17,8,0.19,291.84,2021-06-17,West
169,1871,Electronics,1264.36,2,0.15,-33.8,2021-06-18,South
170,1725,Clothing,531.61,4,0.16,158.65,2021-06-19,West
171,1986,Electronics,501.59,7,0.18,-127.04,2021-06-20,West
172,1546,Clothing,379.72,4,0.31,69.16,2021-06-21,East
173,1960,Grocery,931.45,4,0.36,141.37,2021-06-22,South
174,1738,Furniture,599.99,6,0.38,256.56,2021-06-23,West
175,1612,Electronics,1129.16,6,0.31,465.37,2021-06-24,West
176,1942,Home Decor,348.09,3,0.13,220.46,2021-06-25,Central
177,1461,Grocery,1192.3,9,0.28,320.52,2021-06-26,East
178,1642,Electronics,925.4,2,0.18,154.39,2021-06-27,Central
179,1768,Home Decor,215.69,6,0.1,243.87,2021-06-28,Central
180,1004,Electronics,651.03,7,0.34,-150.35,2021-06-29,West
181,1217,Clothing,1302.1,9,0.02,-21.93,2021-06-30,East
182,1502,Electronics,1388.29,3,0.36,53.3,2021-07-01,South
183,1766,Electronics,725.27,3,0.18,130.75,2021-07-02,West
184,1397,Electronics,747.21,7,0.25,-168.05,2021-07-03,South
185,1870,Grocery,1381.76,4,0.26,-101.98,2021-07-04,South
186,1794,Electronics,901.25,8,0.36,-6.23,2021-07-05,East
187,1392,Home Decor,97.63,7,0.25,480.07,2021-07-06,Central
188,1206,Clothing,1373.49,5,0.25,31.94,2021-07-07,East
189,1014,Clothing,409.93,7,0.03,137.43,2021-07-08,South
190,1857,Electronics,887.57,3,0.21,-62.73,2021-07-09,West
191,1553,Grocery,289.99,2,0.06,227.55,2021-07-10,South
192,1891,Grocery,99.12,6,0.29,-3.52,2021-07-11,West
193,1460,Home Decor,501.64,2,0.2,-55.11,2021-07-12,West
194,1690,Electronics,1181.72,3,0.27,161.6,2021-07-13,East
195,1574,Clothing,452.5,6,0.02,-196.15,2021-07-14,South
196,1863,Grocery,369.14,5,0.03,-194.64,2021-07-15,Central
197,1742,Electronics,358.39,8,0.29,-46.65,2021-07-16,South
198,1240,Grocery,797.0,9,0.03,-174.3,2021-07-17,South
199,1563,Grocery,1464.53,3,0.03,-124.38,2021-07-18,Central
200,1095,Clothing,715.53,3,0.0,37.2,2021-07-19,East
201,1899,Furniture,858.09,3,0.38,361.81,2021-07-20,South
202,1733,Home Decor,1297.92,6,0.3,200.43,2021-07-21,South
203,1484,Home Decor,825.85,1,0.14,158.87,2021-07-22,West
204,1406,Clothing,317.47,7,0.12,5.44,2021-07-23,South
205,1230,Grocery,484.41,1,0.14,452.23,2021-07-24,Central
206,1748,Electronics,499.41,5,0.31,77.91,2021-07-25,West
207,1654,Grocery,626.11,8,0.26,-139.04,2021-07-26,East
208,1170,Clothing,668.84,4,0.07,231.95,2021-07-27,West
209,1540,Home Decor,1209.68,5,0.07,-120.31,2021-07-28,Central
210,1035,Grocery,556.61,4,0.04,41.66,2021-07-29,Central
211,1524,Home Decor,728.94,4,0.26,155.19,2021-07-30,West
212,1159,Electronics,956.22,8,0.31,411.96,2021-07-31,East
213,1838,Home Decor,597.7,2,0.11,145.48,2021-08-01,West
214,1698,Home Decor,1263.02,1,0.01,291.58,2021-08-02,East
215,1242,Furniture,901.81,3,0.03,494.97,2021-08-03,West
216,1085,Furniture,476.36,9,0.39,-107.96,2021-08-04,Central
217,1795,Furniture,1085.39,4,0.12,-7.69,2021-08-05,South
218,1577,Home Decor,815.09,5,0.31,76.2,2021-08-06,South
219,1681,Clothing,824.96,2,0.25,95.28,2021-08-07,East
220,1556,Home Decor,747.58,4,0.15,87.71,2021-08-08,East
221,1573,Clothing,770.67,2,0.08,435.33,2021-08-09,East
222,1952,Clothing,1159.77,2,0.05,299.82,2021-08-10,Central
223,1645,Furniture,199.32,4,0.25,225.53,2021-08-11,West
224,1795,Grocery,534.83,6,0.31,16.56,2021-08-12,Central
225,1027,Electronics,159.48,7,0.26,376.65,2021-08-13,South
226,1619,Furniture,1142.21,3,0.21,468.54,2021-08-14,East
227,1555,Furniture,444.84,3,0.02,374.84,2021-08-15,West
228,1339,Grocery,1351.27,6,0.39,-198.9,2021-08-16,South
229,1797,Electronics,813.54,3,0.32,245.48,2021-08-17,South
230,1957,Home Decor,1211.09,2,0.12,-164.21,2021-08-18,South
231,1330,Home Decor,1469.45,8,0.39,-19.67,2021-08-19,Central
232,1639,Furniture,1267.69,5,0.24,-158.33,2021-08-20,East
233,1505,Electronics,1307.14,1,0.23,222.66,2021-08-21,South
234,1347,Furniture,641.58,3,0.3,280.61,2021-08-22,East
235,1472,Clothing,850.0,8,0.32,-119.86,2021-08-23,Central
236,1230,Furniture,418.14,4,0.26,68.69,2021-08-24,South
237,1189,Furniture,334.36,7,0.05,119.37,2021-08-25,Central
238,1224,Home Decor,782.99,2,0.14,58.34,2021-08-26,Central
239,1384,Home Decor,912.82,7,0.37,-115.28,2021-08-27,East
240,1376,Home Decor,541.94,5,0.09,93.26,2021-08-28,South
241,1282,Clothing,875.69,5,0.15,325.82,2021-08-29,Central
242,1957,Home Decor,1336.82,6,0.17,-150.29,2021-08-30,South
243,1632,Electronics,857.25,9,0.18,-143.87,2021-08-31,East
244,1627,Grocery,1095.18,6,0.25,48.34,2021-09-01,Central
245,1972,Electronics,1217.71,8,0.38,459.21,2021-09-02,East
246,1744,Electronics,1483.66,7,0.1,268.0,2021-09-03,South
247,1258,Home Decor,924.64,9,0.05,275.07,2021-09-04,South
248,1358,Grocery,1219.93,4,0.08,53.34,2021-09-05,East
249,1709,Grocery,1445.84,2,0.35,215.56,2021-09-06,West
250,1455,Grocery,1419.39,7,0.26,-192.91,2021-09-07,Central
251,1410,Clothing,254.57,6,0.11,245.27,2021-09-08,South
252,1648,Home Decor,639.27,1,0.33,439.3,2021-09-09,South
253,1317,Grocery,519.79,9,0.34,228.8,2021-09-10,Central
254,1676,Clothing,176.04,9,0.34,411.59,2021-09-11,East
255,1224,Furniture,968.2,2,0.37,306.78,2021-09-12,East
256,1818,Furniture,1117.06,3,0.1,-115.61,2021-09-13,East
257,1233,Clothing,1279.79,5,0.3,431.72,2021-09-14,West
258,1683,Clothing,228.03,5,0.18,-153.49,2021-09-15,West
259,1663,Home Decor,1320.84,1,0.34,173.78,2021-09-16,South
260,1974,Home Decor,982.24,8,0.29,-100.5,2021-09-17,East
261,1826,Furniture,1070.72,8,0.31,-191.81,2021-09-18,Central
262,1373,Grocery,1370.4,4,0.26,95.42,2021-09-19,South
263,1671,Furniture,955.9,7,0.07,6.53,2021-09-20,Central
264,1607,Grocery,537.01,3,0.22,140.2,2021-09-21,South
265,1471,Grocery,1246.41,6,0.39,204.04,2021-09-22,West
266,1232,Home Decor,576.44,9,0.37,-169.38,2021-09-23,South
267,1691,Electronics,99.63,1,0.02,-113.9,2021-09-24,West
268,1112,Electronics,1254.45,5,0.07,191.05,2021-09-25,South
269,1829,Clothing,550.53,4,0.05,40.22,2021-09-26,East
270,1496,Home Decor,1172.06,8,0.29,310.42,2021-09-27,Central
271,1441,Grocery,576.0,1,0.33,256.6,2021-09-28,East
272,1563,Electronics,1298.55,9,0.09,391.92,2021-09-29,South
273,1267,Grocery,368.29,6,0.2,284.74,2021-09-30,South
274,1509,Electronics,1463.09,4,0.34,100.95,2021-10-01,South
275,1806,Electronics,1180.65,9,0.29,271.08,2021-10-02,West
276,1385,Electronics,215.64,5,0.22,-7.23,2021-10-03,Central
277,1386,Home Decor,870.38,5,0.24,14.42,2021-10-04,Central
278,1112,Furniture,1478.78,5,0.2,352.29,2021-10-05,South
279,1612,Grocery,733.04,1,0.12,112.49,2021-10-06,South
280,1624,Home Decor,314.06,1,0.23,358.87,2021-10-07,West
281,1951,Home Decor,752.93,8,0.28,375.7,2021-10-08,East
282,1080,Home Decor,793.06,8,0.35,400.29,2021-10-09,East
283,1698,Home Decor,1125.45,6,0.25,441.64,2021-10-10,Central
284,1112,Home Decor,1063.33,4,0.3,101.69,2021-10-11,West
285,1001,Clothing,633.7,2,0.06,23.21,2021-10-12,South
286,1641,Grocery,366.13,2,0.18,207.54,2021-10-13,Central
287,1219,Home Decor,985.33,9,0.0,59.82,2021-10-14,West
288,1565,Grocery,661.47,5,0.1,220.75,2021-10-15,East
289,1854,Clothing,241.8,4,0.29,293.91,2021-10-16,West
290,1996,Clothing,1355.83,1,0.4,281.88,2021-10-17,East
291,1735,Grocery,1052.27,7,0.04,62.19,2021-10-18,West
292,1224,Electronics,1040.62,3,0.16,-83.2,2021-10-19,Central
293,1384,Furniture,1242.75,6,0.32,101.37,2021-10-20,East
294,1402,Electronics,818.01,5,0.08,-100.18,2021-10-21,Central
295,1637,Electronics,1231.83,5,0.22,423.07,2021-10-22,Central
296,1129,Electronics,772.23,5,0.29,42.11,2021-10-23,East
297,1052,Home Decor,147.4,1,0.25,-91.88,2021-10-24,East
298,1683,Clothing,637.61,1,0.08,-182.19,2021-10-25,South
299,1729,Electronics,771.32,3,0.14,252.08,2021-10-26,South
300,1671,Clothing,1094.29,4,0.31,245.83,2021-10-27,South
301,1709,Grocery,204.54,5,0.22,38.42,2021-10-28,Central
302,1415,Furniture,253.03,2,0.0,-149.8,2021-10-29,Central
303,1246,Grocery,432.34,8,0.3,86.74,2021-10-30,South
304,1835,Grocery,436.42,2,0.01,17.85,2021-10-31,Central
305,1438,Home Decor,1111.67,9,0.3,273.98,2021-11-01,Central
306,1202,Furniture,413.56,2,0.08,224.05,2021-11-02,East
307,1183,Grocery,967.99,9,0.38,55.22,2021-11-03,East
308,1122,Grocery,766.7,7,0.15,-47.48,2021-11-04,Central
309,1400,Furniture,881.28,8,0.13,491.63,2021-11-05,South
310,1766,Furniture,1265.26,2,0.06,117.8,2021-11-06,West
311,1293,Grocery,636.35,7,0.12,281.79,2021-11-07,South
312,1279,Furniture,1167.82,6,0.35,-101.61,2021-11-08,West
313,1836,Grocery,661.95,4,0.4,139.91,2021-11-09,South
314,1883,Grocery,563.11,7,0.15,-180.72,2021-11-10,East
315,1609,Home Decor,1440.01,4,0.18,153.82,2021-11-11,Central
316,1197,Electronics,317.34,2,0.29,474.81,2021-11-12,Central
317,1981,Grocery,180.99,7,0.35,68.94,2021-11-13,East
318,1906,Clothing,1167.93,8,0.24,-172.7,2021-11-14,West
319,1510,Electronics,148.96,2,0.16,-178.33,2021-11-15,West
320,1751,Electronics,1263.76,5,0.17,71.59,2021-11-16,West
321,1143,Electronics,683.93,1,0.28,-87.98,2021-11-17,East
322,1608,Home Decor,1377.49,7,0.0,-183.65,2021-11-18,West
323,1200,Grocery,1096.22,8,0.25,329.35,2021-11-19,East
324,1123,Home Decor,935.09,6,0.14,120.97,2021-11-20,South
325,1186,Grocery,1426.49,5,0.32,2.47,2021-11-21,South
326,1325,Home Decor,625.14,6,0.04,430.06,2021-11-22,East
327,1463,Home Decor,1433.43,2,0.24,-118.7,2021-11-23,Central
328,1348,Clothing,245.75,1,0.19,469.14,2021-11-24,South
329,1770,Home Decor,751.44,7,0.26,19.78,2021-11-25,West
330,1659,Furniture,441.37,7,0.03,421.88,2021-11-26,East
331,1763,Clothing,832.77,2,0.23,222.06,2021-11-27,West
332,1954,Home Decor,284.92,2,0.22,378.7,2021-11-28,West
333,1931,Electronics,1270.22,1,0.22,488.81,2021-11-29,Central
334,1402,Furniture,1277.29,8,0.24,1.88,2021-11-30,West
335,1345,Furniture,1435.09,8,0.27,472.79,2021-12-01,Central
336,1962,Furniture,274.27,1,0.32,72.64,2021-12-02,South
337,1510,Clothing,953.83,8,0.11,69.86,2021-12-03,East
338,1146,Home Decor,737.64,9,0.33,38.27,2021-12-04,West
339,1147,Home Decor,549.36,4,0.2,178.99,2021-12-05,East
340,1863,Electronics,559.73,1,0.03,-92.1,2021-12-06,West
341,1710,Electronics,648.55,1,0.02,187.6,2021-12-07,East
342,1819,Furniture,1072.14,3,0.13,179.19,2021-12-08,West
343,1488,Electronics,917.51,5,0.31,333.33,2021-12-09,West
344,1928,Clothing,716.54,5,0.28,383.55,2021-12-10,West
345,1935,Home Decor,160.1,9,0.32,108.31,2021-12-11,West
346,1639,Furniture,162.76,2,0.21,11.63,2021-12-12,West
347,1550,Electronics,53.39,2,0.18,-18.47,2021-12-13,West
348,1337,Clothing,1453.16,6,0.06,-63.76,2021-12-14,West
349,1871,Clothing,57.62,9,0.13,-159.65,2021-12-15,West
350,1640,Electronics,199.49,1,0.17,39.71,2021-12-16,West
351,1778,Home Decor,506.17,9,0.04,-10.83,2021-12-17,East
352,1987,Electronics,1220.77,9,0.09,476.49,2021-12-18,Central
353,1952,Furniture,1445.04,9,0.24,190.4,2021-12-19,West
354,1472,Electronics,1195.52,5,0.29,43.09,2021-12-20,Central
355,1945,Clothing,1051.31,9,0.4,206.33,2021-12-21,West
356,1150,Electronics,805.89,4,0.37,-102.56,2021-12-22,West
357,1414,Home Decor,175.72,2,0.26,110.83,2021-12-23,East
358,1989,Grocery,1439.35,6,0.17,238.36,2021-12-24,South
359,1297,Electronics,1149.67,4,0.25,142.23,2021-12-25,South
360,1610,Home Decor,976.48,6,0.31,81.25,2021-12-26,East
361,1262,Home Decor,1150.6,3,0.05,495.69,2021-12-27,Central
362,1763,Clothing,1099.95,6,0.16,416.22,2021-12-28,South
363,1143,Home Decor,973.99,2,0.34,236.38,2021-12-29,East
364,1345,Home Decor,1471.84,2,0.15,198.56,2021-12-30,East
365,1623,Home Decor,1359.88,9,0.23,234.46,2021-12-31,South
366,1571,Home Decor,987.66,7,0.24,-59.08,2022-01-01,Central
367,1880,Furniture,1055.1,3,0.07,76.6,2022-01-02,East
368,1001,Furniture,124.81,1,0.14,-172.38,2022-01-03,West
369,1896,Clothing,1021.38,8,0.13,132.88,2022-01-04,Central
370,1303,Electronics,114.04,6,0.01,180.12,2022-01-05,Central
371,1253,Home Decor,902.98,7,0.01,-40.58,2022-01-06,South
372,1651,Electronics,1499.06,9,0.33,474.82,2022-01-07,South
373,1452,Electronics,855.92,5,0.11,436.62,2022-01-08,West
374,1036,Clothing,736.15,1,0.21,305.5,2022-01-09,East
375,1159,Home Decor,503.64,7,0.12,173.37,2022-01-10,South
376,1008,Home Decor,224.76,5,0.38,408.98,2022-01-11,South
377,1232,Grocery,1109.98,3,0.1,-108.54,2022-01-12,Central
378,1098,Electronics,329.27,9,0.17,353.36,2022-01-13,South
379,1658,Electronics,217.16,1,0.35,-112.63,2022-01-14,South
380,1815,Furniture,661.56,1,0.34,355.95,2022-01-15,South
381,1207,Grocery,1203.25,1,0.07,-6.96,2022-01-16,South
382,1130,Furniture,1130.34,3,0.32,413.96,2022-01-17,Central
383,1403,Furniture,129.58,6,0.18,460.83,2022-01-18,West
384,1151,Furniture,709.96,3,0.19,-95.84,2022-01-19,West
385,1053,Clothing,807.53,8,0.05,123.87,2022-01-20,East
386,1119,Clothing,984.59,2,0.03,486.69,2022-01-21,South
387,1672,Furniture,992.74,9,0.29,138.39,2022-01-22,Central
388,1919,Grocery,578.81,3,0.2,404.48,2022-01-23,East
389,1627,Electronics,862.98,5,0.17,212.11,2022-01-24,East
390,1586,Grocery,747.54,8,0.29,62.73,2022-01-25,West
391,1624,Home Decor,1333.25,2,0.31,0.05,2022-01-26,Central
392,1967,Clothing,818.88,6,0.06,-57.74,2022-01-27,Central
393,1419,Electronics,689.5,5,0.24,333.26,2022-01-28,Central
394,1421,Electronics,636.5,9,0.05,70.58,2022-01-29,West
395,1103,Home Decor,880.02,5,0.3,157.89,2022-01-30,West
396,1851,Home Decor,1215.77,2,0.26,144.63,2022-01-31,West
397,1253,Furniture,830.68,5,0.38,204.1,2022-02-01,West
398,1226,Clothing,1009.4,4,0.03,405.9,2022-02-02,West
399,1111,Clothing,1119.89,7,0.02,486.52,2022-02-03,South
400,1509,Grocery,804.24,6,0.11,85.31,2022-02-04,South
401,1472,Furniture,668.88,2,0.1,379.26,2022-02-05,Central
402,1098,Furniture,1321.16,5,0.1,335.17,2022-02-06,East
403,1152,Furniture,655.38,7,0.36,201.47,2022-02-07,Central
404,1860,Furniture,719.82,7,0.1,469.23,2022-02-08,East
405,1913,Clothing,1485.99,5,0.11,-59.67,2022-02-09,West
406,1895,Clothing,50.34,9,0.3,-123.52,2022-02-10,East
407,1877,Furniture,318.94,4,0.18,397.77,2022-02-11,Central
408,1337,Grocery,606.75,3,0.31,107.4,2022-02-12,Central
