customer_id,age,annual_income,credit_score,loan_amount,loan_term_years,debt_to_income_ratio,late_payments,employment_type,education,loan_purpose,default
121,55,147927,404,238229,1,0.33,3,Self-Employed,High School,Car,0
122,21,54773,724,318588,1,0.54,8,Business,PhD,Home,0
123,55,178819,554,432485,10,0.22,9,Business,PhD,Education,0
124,57,96396,728,66748,15,0.28,7,Salaried,Graduate,Personal,0
125,34,127692,733,46190,3,0.43,9,Salaried,Postgraduate,Personal,0
126,23,77505,506,45318,20,0.26,2,Self-Employed,Postgraduate,Education,0
127,21,105896,327,173090,10,0.51,2,Business,High School,Home,0
128,25,38135,635,129078,3,0.75,3,Unemployed,Postgraduate,Home,0
129,46,110887,368,44759,15,0.62,8,Salaried,Postgraduate,Business,0
130,34,142118,812,283642,20,0.57,8,Unemployed,PhD,Home,0
131,59,67377,466,30989,3,0.51,4,Unemployed,Graduate,Business,0
132,47,174626,667,161640,5,0.44,8,Salaried,PhD,Car,0
133,29,82491,550,384179,10,0.23,5,Business,Graduate,Education,0
134,35,78283,469,333721,1,0.73,7,Unemployed,High School,Car,0
135,35,36923,389,372375,3,0.27,7,Business,PhD,Car,1
136,46,67591,745,166171,20,0.16,9,Unemployed,Graduate,Car,0
137,62,82261,593,357044,20,0.63,6,Business,Postgraduate,Car,0
138,33,74336,449,438855,10,0.22,3,Business,Graduate,Personal,0
139,52,94083,431,371823,10,0.36,3,Business,Postgraduate,Home,0
140,59,80948,732,290626,20,0.12,5,Business,High School,Education,0
141,52,184074,358,336356,20,0.2,8,Salaried,Postgraduate,Education,1
142,24,46672,498,453477,20,0.22,6,Unemployed,Graduate,Car,0
143,50,24213,514,485533,3,0.14,4,Business,PhD,Education,1
144,57,161365,771,297192,20,0.56,4,Self-Employed,Graduate,Business,0
145,43,82507,546,401281,1,0.69,7,Unemployed,PhD,Education,1
146,59,77134,681,400252,20,0.36,5,Unemployed,Graduate,Car,0
147,35,153172,538,40814,1,0.71,0,Business,Graduate,Education,0
148,63,48172,666,195766,3,0.25,0,Unemployed,High School,Home,0
149,49,40132,467,415140,10,0.33,8,Self-Employed,Postgraduate,Car,0
150,56,38199,350,396637,1,0.21,7,Self-Employed,Graduate,Personal,0
151,33,56609,679,65204,3,0.53,5,Self-Employed,PhD,Home,0
152,52,194037,773,37844,20,0.39,0,Unemployed,Postgraduate,Education,0
153,27,159088,379,253827,3,0.53,1,Unemployed,High School,Personal,1
154,42,190851,666,250256,20,0.63,9,Business,Postgraduate,Home,0
155,48,51881,760,349087,3,0.48,2,Unemployed,Graduate,Business,1
156,22,44472,838,26518,10,0.54,9,Unemployed,PhD,Home,0
157,62,187093,751,415275,1,0.75,2,Business,PhD,Personal,0
158,26,74131,763,28052,10,0.31,1,Self-Employed,Postgraduate,Business,0
159,48,175159,777,261346,5,0.35,1,Business,PhD,Education,0
160,48,32828,719,74803,20,0.6,5,Salaried,Graduate,Car,0
161,64,116664,513,76524,1,0.53,6,Unemployed,PhD,Education,0
162,64,152473,668,229582,10,0.22,3,Unemployed,PhD,Car,0
163,40,35193,413,356716,1,0.36,0,Salaried,PhD,Car,0
164,50,195936,802,406896,5,0.43,5,Salaried,Graduate,Personal,0
165,31,171379,610,72021,15,0.39,6,Salaried,High School,Business,1
166,48,122518,768,216321,20,0.22,3,Business,PhD,Business,0
167,45,39611,343,287187,20,0.75,5,Self-Employed,High School,Home,0
168,59,194863,714,7419,3,0.63,8,Business,Postgraduate,Education,1
169,53,163022,545,192964,20,0.44,3,Salaried,Postgraduate,Personal,0
170,21,96240,383,126831,20,0.58,9,Business,Graduate,Education,0
171,47,22745,506,249688,10,0.73,3,Unemployed,Graduate,Home,1
172,33,75243,450,106799,20,0.2,9,Business,Graduate,Home,0
173,61,23866,827,415356,20,0.28,4,Salaried,Graduate,Personal,0
174,23,183317,464,441700,5,0.48,2,Unemployed,High School,Home,0
175,59,195796,444,199941,5,0.66,9,Self-Employed,Graduate,Personal,0
176,26,148681,336,181282,1,0.13,1,Business,High School,Home,0
177,28,91354,632,324744,1,0.79,8,Business,PhD,Business,1
178,47,71374,702,383611,20,0.42,0,Salaried,PhD,Personal,1
179,29,134397,713,345641,20,0.35,4,Self-Employed,Postgraduate,Business,1
180,57,144577,344,113611,3,0.3,4,Unemployed,Postgraduate,Business,0
181,53,181188,701,142559,1,0.22,7,Salaried,High School,Personal,0
182,62,101029,505,327836,10,0.65,5,Salaried,Graduate,Education,0
183,64,113574,361,67112,20,0.77,5,Business,Postgraduate,Car,1
184,44,171519,719,429326,10,0.39,5,Self-Employed,High School,Home,0
185,35,50431,767,244040,20,0.77,3,Salaried,Postgraduate,Home,0
186,52,168980,318,283504,10,0.68,0,Business,Graduate,Education,0
187,52,49336,664,447626,15,0.44,2,Unemployed,High School,Car,0
188,44,60992,599,238451,10,0.57,9,Salaried,Postgraduate,Education,0
189,61,75350,306,226490,1,0.4,5,Unemployed,Graduate,Car,0
190,32,89561,727,350182,20,0.49,4,Unemployed,High School,Personal,0
191,59,71955,416,471383,1,0.14,9,Business,High School,Personal,1
192,22,81240,806,270161,10,0.59,0,Self-Employed,High School,Business,0
193,23,171165,845,353405,5,0.14,4,Unemployed,PhD,Business,0
194,57,157227,624,196196,5,0.67,1,Salaried,High School,Personal,0
195,37,66607,354,252418,5,0.68,0,Self-Employed,Postgraduate,Business,1
196,22,184559,341,226370,20,0.27,3,Self-Employed,High School,Personal,0
197,22,172035,596,449165,3,0.33,5,Business,High School,Education,0
198,48,72870,530,194340,15,0.44,6,Salaried,High School,Home,0
199,43,84110,752,71320,10,0.52,8,Salaried,High School,Personal,0
200,57,172008,693,491772,3,0.3,4,Business,High School,Personal,1
201,52,136895,821,240067,5,0.51,7,Business,PhD,Personal,1
202,53,24426,657,217373,10,0.31,7,Self-Employed,Graduate,Business,0
203,21,47606,743,298271,3,0.14,8,Unemployed,PhD,Business,0
204,39,198904,427,401412,1,0.1,2,Unemployed,Postgraduate,Business,0
205,22,48151,704,342232,5,0.17,2,Unemployed,Graduate,Business,0
206,64,31308,691,439516,3,0.65,8,Unemployed,Postgraduate,Education,0
207,46,196743,492,185786,20,0.77,6,Salaried,High School,Personal,0
208,52,110306,377,299065,1,0.4,3,Salaried,Postgraduate,Education,0
209,26,126984,384,271890,5,0.46,0,Business,PhD,Business,1
210,52,22204,329,335679,15,0.2,6,Business,PhD,Education,0
211,24,112769,348,70350,5,0.49,9,Unemployed,High School,Personal,0
212,31,107265,444,186417,20,0.2,5,Business,High School,Personal,0
213,37,51131,368,245678,15,0.53,2,Salaried,Graduate,Business,0
214,58,72428,357,447436,15,0.75,4,Unemployed,PhD,Personal,1
215,44,53870,778,348275,15,0.24,2,Unemployed,PhD,Education,0
216,25,123547,744,27063,10,0.64,7,Salaried,Graduate,Car,0
217,54,69067,595,122116,10,0.12,4,Self-Employed,PhD,Personal,0
218,26,132217,470,469952,15,0.36,9,Unemployed,Graduate,Education,0
219,42,172679,446,356057,1,0.18,9,Business,PhD,Education,1
220,31,176040,783,346090,15,0.35,5,Self-Employed,Postgraduate,Education,0
221,36,118934,605,182043,3,0.22,1,Salaried,Postgraduate,Personal,1
222,53,162980,745,139670,15,0.36,7,Self-Employed,Graduate,Car,1
223,29,177495,520,15564,10,0.39,8,Self-Employed,Graduate,Business,1
224,26,94707,677,247124,10,0.31,2,Unemployed,High School,Business,1
225,36,81215,565,232506,3,0.56,5,Self-Employed,PhD,Personal,0
226,49,69429,394,316869,3,0.74,5,Business,Postgraduate,Personal,1
227,23,102152,561,91134,5,0.38,1,Unemployed,High School,Home,0
228,40,128048,370,110940,1,0.23,9,Salaried,PhD,Car,0
229,56,189530,518,458156,1,0.29,7,Business,Postgraduate,Education,0
230,39,197241,832,67085,1,0.7,4,Unemployed,PhD,Education,0
231,46,158731,391,22862,20,0.5,7,Self-Employed,Graduate,Business,0
232,23,97240,426,277409,10,0.42,7,Business,Postgraduate,Personal,0
233,39,183865,379,145777,1,0.2,2,Unemployed,Postgraduate,Car,0
234,40,133688,537,191351,5,0.41,4,Unemployed,High School,Business,0
235,52,66473,671,67471,5,0.29,6,Salaried,PhD,Car,0
236,27,116762,785,96080,1,0.76,4,Unemployed,Graduate,Personal,0
237,61,126956,324,478050,3,0.72,5,Salaried,Graduate,Education,0
238,53,138452,455,461195,5,0.16,1,Self-Employed,PhD,Home,0
239,60,146311,816,322972,3,0.46,7,Unemployed,PhD,Car,0
240,59,27006,829,496422,10,0.26,4,Unemployed,Graduate,Education,0
241,38,94218,356,384028,20,0.39,5,Self-Employed,PhD,Car,0
242,60,184912,318,113007,5,0.71,0,Unemployed,High School,Car,0
243,21,52430,683,51104,3,0.47,9,Unemployed,PhD,Car,0
244,31,43091,492,45934,1,0.33,1,Business,High School,Personal,0
245,48,184055,536,259606,10,0.25,3,Salaried,High School,Business,0
246,45,43989,686,381564,15,0.66,8,Unemployed,PhD,Car,1
247,43,95451,725,11050,15,0.54,5,Unemployed,Postgraduate,Personal,0
248,51,38990,576,180024,1,0.43,7,Salaried,Postgraduate,Home,1
249,50,110270,526,484786,10,0.25,1,Business,High School,Business,0
250,62,100360,622,275628,10,0.33,9,Salaried,PhD,Personal,0
251,55,56081,452,329792,10,0.77,4,Unemployed,High School,Home,1
252,27,162105,536,327089,10,0.46,0,Self-Employed,PhD,Business,0
253,36,128272,354,189750,15,0.38,3,Self-Employed,PhD,Personal,0
254,46,36241,735,36323,3,0.46,9,Business,Graduate,Home,0
255,22,144932,408,91332,10,0.65,0,Business,Postgraduate,Personal,0
256,21,25939,483,361749,3,0.34,8,Unemployed,Postgraduate,Home,0
257,32,133000,667,485579,10,0.23,1,Business,Graduate,Car,0
258,25,198634,497,260540,5,0.51,6,Unemployed,Graduate,Car,1
259,57,55063,670,259547,20,0.57,2,Self-Employed,Graduate,Business,1
260,52,178117,672,433577,5,0.6,1,Business,High School,Home,0
261,29,195841,796,277459,20,0.72,3,Unemployed,High School,Car,0
262,61,67118,500,315112,5,0.36,6,Salaried,High School,Business,0
263,55,104703,808,162591,10,0.15,6,Business,High School,Education,0
264,39,172697,621,276251,3,0.77,8,Unemployed,High School,Car,0
265,36,148557,574,60781,20,0.4,2,Unemployed,Postgraduate,Car,0
266,23,47076,510,271013,15,0.54,6,Salaried,Postgraduate,Personal,0
267,40,64605,803,348127,1,0.57,5,Self-Employed,PhD,Education,1
268,44,104565,417,425586,20,0.48,9,Salaried,Postgraduate,Home,0
269,53,59121,341,460911,20,0.24,6,Unemployed,Graduate,Business,0
270,44,51433,614,458638,15,0.63,6,Salaried,Postgraduate,Education,0
271,31,63309,628,12971,10,0.66,9,Salaried,Graduate,Home,0
272,28,87468,316,363949,5,0.49,4,Unemployed,Postgraduate,Car,0
273,56,195326,582,259927,5,0.44,8,Self-Employed,High School,Business,0
274,58,87293,557,292795,3,0.18,6,Salaried,Postgraduate,Business,1
275,60,116258,318,324118,10,0.16,6,Salaried,PhD,Education,0
276,40,188925,828,499509,15,0.34,2,Business,High School,Personal,0
277,55,58405,722,28446,10,0.32,0,Business,High School,Home,1
278,45,63527,765,262419,10,0.77,4,Unemployed,PhD,Education,0
279,55,97227,672,174180,5,0.65,7,Unemployed,Postgraduate,Personal,1
280,45,151564,380,473395,15,0.56,4,Unemployed,Postgraduate,Personal,0
281,49,159883,847,8823,1,0.46,9,Business,PhD,Personal,0
282,38,113344,723,149526,20,0.22,2,Unemployed,High School,Business,0
283,38,175344,728,140004,5,0.78,8,Salaried,PhD,Home,0
284,22,67153,687,408436,15,0.36,1,Salaried,Graduate,Home,0
285,55,128042,503,210162,3,0.17,2,Self-Employed,Graduate,Education,0
286,36,74110,495,72965,20,0.45,3,Unemployed,Postgraduate,Car,0
287,61,165051,584,426424,20,0.71,9,Salaried,High School,Education,1
288,56,48328,495,471196,5,0.72,0,Salaried,Graduate,Home,0
289,53,132911,606,277654,3,0.11,3,Self-Employed,PhD,Business,0
290,24,32867,313,442261,5,0.72,3,Salaried,Postgraduate,Education,0
291,53,79234,445,146609,10,0.29,8,Self-Employed,Postgraduate,Car,0
292,34,45851,356,470899,15,0.13,7,Self-Employed,High School,Education,0
293,41,51279,509,110935,3,0.69,1,Business,Graduate,Personal,0
294,40,93402,828,336278,20,0.7,6,Salaried,Postgraduate,Car,1
295,28,35449,643,238705,5,0.52,5,Business,PhD,Personal,0
296,27,96221,578,339398,20,0.5,6,Salaried,Graduate,Business,0
297,23,109080,508,258978,3,0.67,3,Business,Postgraduate,Home,0
298,37,25451,634,149854,20,0.65,4,Self-Employed,Postgraduate,Education,0
299,53,107178,587,381924,5,0.72,5,Self-Employed,Graduate,Education,0
300,32,192388,551,392688,5,0.49,8,Self-Employed,Graduate,Personal,1
301,42,83761,564,332731,1,0.78,1,Self-Employed,High School,Personal,0
302,42,58870,570,349382,20,0.8,8,Salaried,PhD,Home,0
303,50,116566,718,342864,1,0.18,9,Unemployed,High School,Education,0
304,58,143749,510,83004,1,0.69,0,Salaried,High School,Home,1
305,58,143765,664,27072,20,0.45,3,Business,PhD,Personal,0
306,28,144881,375,86015,3,0.37,4,Salaried,PhD,Personal,0
307,47,181945,620,230075,10,0.53,8,Salaried,High School,Car,0
308,47,148389,732,225010,5,0.14,5,Business,Graduate,Personal,0
309,54,45372,408,77746,15,0.45,3,Self-Employed,PhD,Personal,0
310,41,23642,821,181774,1,0.71,1,Business,High School,Home,0
311,50,179073,346,369404,3,0.25,4,Business,Graduate,Car,1
312,53,54064,678,404273,20,0.4,7,Unemployed,Postgraduate,Car,0
313,48,34122,395,133259,3,0.76,7,Unemployed,Graduate,Education,0
314,53,175892,402,35916,3,0.4,5,Self-Employed,High School,Business,0
315,25,88431,445,32268,20,0.35,0,Business,PhD,Education,0
316,39,75745,326,180050,15,0.41,7,Business,Graduate,Education,0
317,24,70081,829,248966,20,0.46,3,Business,Graduate,Education,0
318,55,159783,381,28259,15,0.54,1,Salaried,Graduate,Car,1
319,37,169865,727,451799,20,0.66,0,Unemployed,PhD,Home,0
320,64,159271,778,84400,1,0.42,6,Unemployed,PhD,Personal,0
321,48,96253,461,301437,15,0.67,1,Self-Employed,Graduate,Car,1
322,50,56191,701,116581,1,0.47,3,Unemployed,Graduate,Personal,0
323,49,30211,807,12043,15,0.34,3,Unemployed,High School,Personal,0
324,26,131086,337,186502,15,0.56,9,Self-Employed,PhD,Business,0
325,55,172614,810,112009,20,0.6,0,Business,Graduate,Education,0
326,61,182384,692,306037,15,0.49,1,Salaried,PhD,Business,1
327,57,196314,793,438858,1,0.14,0,Self-Employed,PhD,Education,0
328,44,121971,499,214137,20,0.22,5,Unemployed,PhD,Car,0
329,49,113783,554,166940,5,0.3,2,Self-Employed,High School,Personal,1
330,51,145681,478,293453,1,0.3,0,Unemployed,Postgraduate,Business,0
331,55,107893,846,290428,5,0.57,7,Business,PhD,Car,0
332,53,178763,688,393945,3,0.11,3,Business,PhD,Car,0
333,41,97960,697,118259,20,0.63,9,Business,Graduate,Education,0
334,52,104388,457,105804,3,0.29,6,Unemployed,PhD,Personal,0
335,43,42601,303,74000,20,0.32,9,Self-Employed,Postgraduate,Education,0
336,53,169092,466,89179,20,0.47,1,Unemployed,PhD,Education,0
337,23,159227,767,460323,1,0.25,5,Business,High School,Car,0
338,38,187849,708,332193,5,0.72,5,Business,Graduate,Education,0
339,45,39710,711,296409,20,0.16,6,Business,Postgraduate,Home,0
340,62,128714,503,479706,5,0.41,0,Unemployed,High School,Personal,0
341,51,175604,493,265226,20,0.69,0,Salaried,Postgraduate,Education,0
342,23,148727,534,28880,5,0.53,1,Business,Graduate,Education,0
343,60,169673,449,351723,3,0.3,1,Self-Employed,PhD,Business,0
344,44,83227,458,398471,1,0.39,4,Business,Graduate,Personal,0
345,52,156039,578,399718,20,0.59,0,Unemployed,Graduate,Personal,0
346,42,104289,703,206264,10,0.78,1,Self-Employed,PhD,Education,0
347,43,171094,610,332568,5,0.73,5,Unemployed,High School,Home,0
348,22,194535,367,474054,5,0.34,2,Salaried,Postgraduate,Business,0
349,47,25722,762,338110,10,0.8,3,Salaried,High School,Home,1
350,62,178485,387,177438,1,0.1,0,Unemployed,PhD,Education,0
351,22,101050,516,425641,5,0.12,4,Business,Postgraduate,Personal,0
352,46,103596,300,450544,1,0.68,3,Self-Employed,PhD,Personal,0
353,37,86732,434,250352,5,0.24,7,Business,High School,Home,0
354,60,163369,650,72396,15,0.14,2,Unemployed,Graduate,Car,1
355,53,88323,439,338838,5,0.27,9,Unemployed,Postgraduate,Education,1
356,29,43816,432,404022,15,0.4,0,Business,PhD,Personal,0
357,63,60695,477,484490,20,0.61,9,Self-Employed,Postgraduate,Car,0
358,59,170774,657,284250,1,0.54,4,Self-Employed,Postgraduate,Personal,0
359,49,176314,679,61731,5,0.27,0,Self-Employed,High School,Personal,0
360,62,75841,749,80010,3,0.45,4,Self-Employed,Graduate,Car,0
361,46,148498,762,480749,3,0.75,8,Self-Employed,Postgraduate,Home,0
362,55,127096,407,254091,10,0.67,4,Salaried,High School,Education,0
363,45,112764,421,299743,3,0.33,1,Salaried,Postgraduate,Car,0
364,44,105744,316,76326,15,0.79,1,Unemployed,Graduate,Car,0
365,33,48482,495,253876,3,0.6,9,Salaried,Postgraduate,Personal,0
366,27,29171,626,342850,3,0.14,8,Self-Employed,Graduate,Car,0
367,56,120755,617,14004,3,0.12,4,Self-Employed,High School,Education,0
368,40,128125,778,120018,5,0.22,7,Self-Employed,High School,Home,0
369,21,150722,551,449580,10,0.61,9,Unemployed,Graduate,Home,0
370,28,126082,802,30792,1,0.23,3,Unemployed,Graduate,Home,0
371,36,23696,418,493968,10,0.46,1,Business,High School,Education,0
372,34,146310,797,463128,15,0.17,3,Salaried,Graduate,Personal,0
373,32,171130,785,59645,5,0.74,3,Salaried,Graduate,Education,0
374,43,171385,344,12232,20,0.34,8,Business,PhD,Car,0
375,35,39149,613,476426,5,0.74,9,Business,Postgraduate,Business,0
376,48,150064,478,59766,3,0.76,5,Salaried,High School,Business,0
377,54,73521,717,125601,3,0.1,9,Self-Employed,High School,Business,0
378,22,65740,377,86588,15,0.42,5,Salaried,PhD,Home,0
379,52,126611,625,184614,20,0.12,4,Self-Employed,Graduate,Education,0
380,43,156028,656,10913,5,0.74,5,Unemployed,Graduate,Education,0
381,42,86641,715,117406,20,0.46,0,Salaried,Graduate,Home,1
382,45,83811,814,118693,1,0.15,4,Salaried,High School,Car,0
383,42,83232,513,98449,10,0.18,5,Unemployed,PhD,Business,1
384,42,35417,373,15567,5,0.37,7,Unemployed,Postgraduate,Business,0
385,62,175801,808,43379,20,0.76,3,Unemployed,PhD,Home,0
386,26,132492,631,211040,1,0.59,4,Unemployed,High School,Business,0
387,35,50099,392,267463,1,0.71,3,Unemployed,Postgraduate,Personal,1
388,63,181033,818,95005,10,0.36,6,Business,Graduate,Education,0
389,57,163674,568,378134,1,0.13,9,Business,PhD,Business,0
390,53,138474,675,228098,15,0.78,5,Unemployed,PhD,Business,0
391,28,29256,303,484336,1,0.11,3,Unemployed,High School,Personal,0
392,64,54681,437,9791,20,0.76,5,Unemployed,PhD,Car,1
393,64,111328,530,495488,15,0.36,3,Unemployed,Postgraduate,Car,0
394,25,63361,828,136401,1,0.11,7,Self-Employed,PhD,Personal,0
395,59,54540,351,210459,3,0.58,2,Self-Employed,High School,Car,0
